29,SCAN nmap XMAS,2018年-05月-20日  12:47:53.350766,1,1228,编号[4] attempted-recon,Attempted Information Leak,2,2018年-05月-20日  12:47:53,610586,00:00:00:00:04:01,00:00:00:00:01:00,10,,
30,NMAP ping sweep Scan,2018年-05月-20日  12:47:53.601672,1,10000004,编号[0],,0,2018年-05月-20日  12:47:53,610666,00:00:00:00:04:01,00:00:00:00:01:00,8,0,10.1.0.5,192.168.1.101,
31,ICMP PING NMAP,2018年-05月-20日  12:47:53.601672,1,469,编号[4] attempted-recon,Attempted Information Leak,2,2018年-05月-20日  12:47:53,610743,00:00:00:00:04:01,00:00:00:00:01:00,8,0,10.1.0.5,192.168.1.101,
32,ICMP PING,2018年-05月-20日  12:47:53.601672,1,384,编号[29] misc-activity,Misc activity,3,2018年-05月-20日  12:47:53,610820,00:00:00:00:04:01,00:00:00:00:01:00,8,0,10.1.0.5,192.168.1.101,
33,NMAP ping sweep Scan,2018年-05月-20日  12:47:53.601791,1,10000004,编号[0],,0,2018年-05月-20日  12:47:53,610963,00:00:00:00:04:01,00:00:00:00:01:00,8,0,10.1.0.5,192.168.1.101,
34,ICMP PING NMAP,2018年-05月-20日  12:47:53.601791,1,469,编号[4] attempted-recon,Attempted Information Leak,2,2018年-05月-20日  12:47:53,611055,00:00:00:00:04:01,00:00:00:00:01:00,8,0,10.1.0.5,192.168.1.101,
35,ICMP traceroute,2018年-05月-20日  12:47:53.601791,1,385,编号[4] attempted-recon,Attempted Information Leak,2,2018年-05月-20日  12:47:53,611142,00:00:00:00:04:01,00:00:00:00:01:00,8,0,10.1.0.5,192.168.1.101,
36,ICMP PING,2018年-05月-20日  12:47:53.601791,1,384,编号[29] misc-activity,Misc activity,3,2018年-05月-20日  12:47:53,611235,00:00:00:00:04:01,00:00:00:00:01:00,8,0,10.1.0.5,192.168.1.101,
37,NMAP ping sweep Scan,2018年-05月-20日  12:47:53.601853,1,10000004,编号[0],,0,2018年-05月-20日  12:47:53,611377,00:00:00:00:04:01,00:00:00:00:01:00,8,0,10.1.0.5,192.168.1.101,
38,ICMP PING NMAP,2018年-05月-20日  12:47:53.601853,1,469,编号[4] attempted-recon,Attempted Information Leak,2,2018年-05月-20日  12:47:53,611487,00:00:00:00:04:01,00:00:00:00:01:00,8,0,10.1.0.5,192.168.1.101,
39,ICMP PING,2018年-05月-20日  12:47:53.601853,1,384,编号[29] misc-activity,Misc activity,3,2018年-05月-20日  12:47:53,611584,00:00:00:00:04:01,00:00:00:00:01:00,8,0,10.1.0.5,192.168.1.101,
40,NMAP ping sweep Scan,2018年-05月-20日  12:47:53.601892,1,10000004,编号[0],,0,2018年-05月-20日  12:47:53,611693,00:00:00:00:04:01,00:00:00:00:01:00,8,0,10.1.0.5,192.168.1.101,
41,ICMP PING NMAP,2018年-05月-20日  12:47:53.601892,1,469,编号[4] attempted-recon,Attempted Information Leak,2,2018年-05月-20日  12:47:53,611781,00:00:00:00:04:01,00:00:00:00:01:00,8,0,10.1.0.5,192.168.1.101,
